Exp,Rep,Oil_V,Surfactant_V,Cosurfactant_V,Sonication,Oil,Surfactant,Cosurfactant,API_Name,Droplet_Size,PDI,Zeta_P,Phase_Sep,Drug_Loading,Permeability
A-C4,R3,5,21.1,14.5,2.6,Maisine_Oil,Tween_20,Propylene_Glycol,A190,10000,1,100,1,0,0
A-C5,R3,5.18,20.65,14.38,3,Capmul_MCM,Tween_20,Propylene_Glycol,A190,17.17,0.38,-3.873333333,0,103.39,2.90E-05
F-A1,R1,8.0625,20,15,2.295,Capryol_90,Tween_20,Ethanol,Feno,11.29666667,0.170333333,-2.833333333,0,94.75333333,5.30E-06
F-A2,R1,8.325,20,19.375,2.25,Capryol_90,Tween_20,Transcutol_HP,Feno,21.58333333,0.701666667,-3.346666667,0,109.1566667,4.23E-05
F-A3,R1,8.0625,20,11.75,2.31,Capryol_90,Tween_20,PEG_400,Feno,11.45666667,0.163666667,-4.226666667,0,76.66333333,4.37E-06
F-A4,R1,7.1875,20,15.625,2.4,Capryol_90,Tween_80,Transcutol_HP,Feno,103.7766667,0.423666667,-2.743333333,0,98.36666667,6.25E-06
F-A5,R1,8.0625,20,15,2.37,Capryol_90,Tween_20,Propylene_Glycol,Feno,10.98,0.21,-3.896666667,0,99.29666667,1.20E-05
F-A1,R2,8.0625,20,15,2.295,Capryol_90,Tween_20,Ethanol,Feno,11.43666667,0.226333333,-1.653333333,0,98.66333333,6.64E-06
F-A2,R2,8.325,20,19.375,2.25,Capryol_90,Tween_20,Transcutol_HP,Feno,14.80333333,0.468666667,-2.853333333,0,88.96,1.03E-05
F-A3,R2,8.0625,20,11.75,2.31,Capryol_90,Tween_20,PEG_400,Feno,11.36,0.155333333,-4.053333333,0,97.74666667,1.67E-05
F-A4,R2,7.1875,20,15.625,2.4,Capryol_90,Tween_80,Transcutol_HP,Feno,117.1,0.325666667,-3.326666667,0,92.38333333,7.29E-06
